,Keyword Search,all-MiniLM-L6-v2,all-MiniLM-L6-v2_uri,all-mpnet-base-v2,all-mpnet-base-v2_uri,all-distilroberta-v1,all-distilroberta-v1_uri
0,,The decorated word : Qur'ans of the 17th to 19th centuries,http://bnb.data.bl.uk/id/resource/005601324,al-Makhtūtāt al-Islāmīyah fī al-'ālam-,http://bnb.data.bl.uk/id/resource/005649124,Three early sufi texts,http://bnb.data.bl.uk/id/resource/005608714
1,,The book of the prophet Jeremiah,http://bnb.data.bl.uk/id/resource/005588972,The distinguished jurist's primer : a translation of Bidāyat al-Mujtahid,http://bnb.data.bl.uk/id/resource/005608644,The New English study Bible,http://bnb.data.bl.uk/id/resource/005592046
2,,The distinguished jurist's primer : a translation of Bidāyat al-Mujtahid,http://bnb.data.bl.uk/id/resource/005608644,The decorated word : Qur'ans of the 17th to 19th centuries,http://bnb.data.bl.uk/id/resource/005601324,The decorated word : Qur'ans of the 17th to 19th centuries,http://bnb.data.bl.uk/id/resource/005601324
3,,The Greek New Testament,http://bnb.data.bl.uk/id/resource/005594888,The life of the prophet Muḥammad : a translation of Al-sīra al-nabawiyya,http://bnb.data.bl.uk/id/resource/005659621,The reformation of morals : a parallel Arabic-English text,http://bnb.data.bl.uk/id/resource/006618150
4,,The Muslim and Christian calendars : being tables for the conversion of Muslim and Christian dates from the Hijra to the year A.D. 2000,http://bnb.data.bl.uk/id/resource/004158236,The life of the prophet Muḥammad : a translation of Al-sīra al-nabawiyya,http://bnb.data.bl.uk/id/resource/005659624,Islam : a challenge for Christianity,http://bnb.data.bl.uk/id/resource/006298190
