,Keyword Search,all-MiniLM-L6-v2,all-MiniLM-L6-v2_uri,all-mpnet-base-v2,all-mpnet-base-v2_uri,all-distilroberta-v1,all-distilroberta-v1_uri
0,,The works of William Shakespeare. Vol.4,http://bnb.data.bl.uk/id/resource/005594520,Shakespeare's prose,http://bnb.data.bl.uk/id/resource/000812721,The works of William Shakespeare. Vol.4,http://bnb.data.bl.uk/id/resource/005594520
1,,The works of William Shakespeare. Vol.2,http://bnb.data.bl.uk/id/resource/005594518,Shakespeare,http://bnb.data.bl.uk/id/resource/005576788,The works of William Shakespeare. Vol.8,http://bnb.data.bl.uk/id/resource/005594524
2,,The works of William Shakespeare. Vol.5,http://bnb.data.bl.uk/id/resource/005594521,As they liked it : a study of Shakespeare's moral artistry,http://bnb.data.bl.uk/id/resource/001590643,The works of William Shakespeare. Vol.5,http://bnb.data.bl.uk/id/resource/005594521
3,,The works of William Shakespeare. Vol.1,http://bnb.data.bl.uk/id/resource/005594517,Shakespeare's tragic frontier : the world of his final tragedies,http://bnb.data.bl.uk/id/resource/001201383,The works of William Shakespeare. Vol.3,http://bnb.data.bl.uk/id/resource/005594519
4,,The works of William Shakespeare. Vol.6,http://bnb.data.bl.uk/id/resource/005594522,Shakespeare's tragic frontier : the world of his final tragedies,http://bnb.data.bl.uk/id/resource/001201382,The works of William Shakespeare. Vol.2,http://bnb.data.bl.uk/id/resource/005594518
