,Keyword Search,all-MiniLM-L6-v2,all-MiniLM-L6-v2_uri,all-mpnet-base-v2,all-mpnet-base-v2_uri,all-distilroberta-v1,all-distilroberta-v1_uri
0,Shakespeare's prose,The works of William Shakespeare. Vol.2,http://bnb.data.bl.uk/id/resource/005594518,The works of William Shakespeare. Vol.2,http://bnb.data.bl.uk/id/resource/005594518,The works of William Shakespeare. Vol.5,http://bnb.data.bl.uk/id/resource/005594521
1,Shakespeare's tragic frontier : the world of his final tragedies,The works of William Shakespeare. Vol.4,http://bnb.data.bl.uk/id/resource/005594520,The works of William Shakespeare. Vol.4,http://bnb.data.bl.uk/id/resource/005594520,The works of William Shakespeare. Vol.6,http://bnb.data.bl.uk/id/resource/005594522
2,Shakespeare's tragic frontier : the world of his final tragedies,The works of William Shakespeare. Vol.5,http://bnb.data.bl.uk/id/resource/005594521,The works of William Shakespeare. Vol.7,http://bnb.data.bl.uk/id/resource/005594523,The works of William Shakespeare. Vol.4,http://bnb.data.bl.uk/id/resource/005594520
3,"Shakespeare at work, 1592-1603",The works of William Shakespeare. Vol.6,http://bnb.data.bl.uk/id/resource/005594522,The works of William Shakespeare. Vol.8,http://bnb.data.bl.uk/id/resource/005594524,The works of William Shakespeare. Vol.3,http://bnb.data.bl.uk/id/resource/005594519
4,The lion and the fox : the rôle of the hero in the plays of Shakespeare,The works of William Shakespeare. Vol.7,http://bnb.data.bl.uk/id/resource/005594523,The works of William Shakespeare. Vol.1,http://bnb.data.bl.uk/id/resource/005594517,The works of William Shakespeare. Vol.8,http://bnb.data.bl.uk/id/resource/005594524
